[06-Mar-2026 09:59:33] NOTICE: fpm is running, pid 19
[06-Mar-2026 09:59:33] NOTICE: ready to handle connections
127.0.0.1 -  06/Mar/2026:12:20:41 +0000 "OPTIONS /index.php" 200
127.0.0.1 -  06/Mar/2026:12:20:41 +0000 "OPTIONS /index.php" 200
127.0.0.1 -  06/Mar/2026:12:20:41 +0000 "OPTIONS /index.php" 200
127.0.0.1 -  06/Mar/2026:12:20:41 +0000 "GET /index.php" 200
127.0.0.1 -  06/Mar/2026:12:20:41 +0000 "GET /index.php" 200
127.0.0.1 -  06/Mar/2026:12:20:41 +0000 "GET /index.php" 200
127.0.0.1 -  06/Mar/2026:12:20:38 +0000 "GET /index.php" 200
127.0.0.1 -  06/Mar/2026:12:20:53 +0000 "OPTIONS /index.php" 200
127.0.0.1 -  06/Mar/2026:12:20:54 +0000 "GET /index.php" 200
127.0.0.1 -  06/Mar/2026:12:20:41 +0000 "GET /index.php" 500
127.0.0.1 -  06/Mar/2026:12:25:54 +0000 "OPTIONS /index.php" 200
127.0.0.1 -  06/Mar/2026:12:25:54 +0000 "GET /index.php" 200
127.0.0.1 -  06/Mar/2026:12:26:26 +0000 "OPTIONS /index.php" 200
127.0.0.1 -  06/Mar/2026:12:26:27 +0000 "GET /index.php" 200
127.0.0.1 -  06/Mar/2026:12:26:27 +0000 "OPTIONS /index.php" 200
127.0.0.1 -  06/Mar/2026:12:26:27 +0000 "GET /index.php" 200
127.0.0.1 -  06/Mar/2026:12:26:27 +0000 "OPTIONS /index.php" 200
127.0.0.1 -  06/Mar/2026:12:26:27 +0000 "OPTIONS /index.php" 200
127.0.0.1 -  06/Mar/2026:12:26:27 +0000 "OPTIONS /index.php" 200
127.0.0.1 -  06/Mar/2026:12:26:27 +0000 "OPTIONS /index.php" 200
127.0.0.1 -  06/Mar/2026:12:26:27 +0000 "GET /index.php" 200
127.0.0.1 -  06/Mar/2026:12:26:27 +0000 "GET /index.php" 200
127.0.0.1 -  06/Mar/2026:12:26:28 +0000 "GET /index.php" 200
127.0.0.1 -  06/Mar/2026:12:26:27 +0000 "GET /index.php" 200
127.0.0.1 -  06/Mar/2026:12:26:27 +0000 "GET /index.php" 200
127.0.0.1 -  06/Mar/2026:12:26:27 +0000 "GET /index.php" 200
127.0.0.1 -  06/Mar/2026:12:33:10 +0000 "OPTIONS /index.php" 200
127.0.0.1 -  06/Mar/2026:12:33:11 +0000 "POST /index.php" 200
127.0.0.1 -  06/Mar/2026:12:33:16 +0000 "GET /index.php" 200
127.0.0.1 -  06/Mar/2026:12:33:16 +0000 "OPTIONS /index.php" 200
127.0.0.1 -  06/Mar/2026:12:33:16 +0000 "POST /index.php" 200
127.0.0.1 -  06/Mar/2026:12:33:17 +0000 "OPTIONS /index.php" 200
127.0.0.1 -  06/Mar/2026:12:33:17 +0000 "OPTIONS /index.php" 200
127.0.0.1 -  06/Mar/2026:12:33:17 +0000 "OPTIONS /index.php" 200
127.0.0.1 -  06/Mar/2026:12:33:17 +0000 "GET /index.php" 200
127.0.0.1 -  06/Mar/2026:12:33:17 +0000 "GET /index.php" 200
127.0.0.1 -  06/Mar/2026:12:33:17 +0000 "GET /index.php" 200
127.0.0.1 -  06/Mar/2026:12:33:17 +0000 "OPTIONS /index.php" 200
127.0.0.1 -  06/Mar/2026:12:33:17 +0000 "OPTIONS /index.php" 200
127.0.0.1 -  06/Mar/2026:12:33:17 +0000 "OPTIONS /index.php" 200
